year,n_cells,baa_mean,baa_max,dhw_mean,dhw_max,pct_alert
1986,656,1.436,2.0,1.298,3.88,0.0
1987,656,1.471,2.0,0.258,1.77,0.0
1988,656,0.133,1.0,0.0,0.16,0.0
1990,656,0.09,1.0,0.139,1.16,0.0
1991,656,0.16,1.0,0.0,0.0,0.0
1992,656,0.476,2.0,0.01,0.48,0.0
1993,656,0.204,1.0,0.004,0.18,0.0
1994,656,1.48,2.0,0.272,1.69,0.0
1998,656,0.14,1.0,0.141,1.98,0.0
1999,656,1.476,2.0,0.347,1.84,0.0
2000,656,0.232,1.0,0.0,0.0,0.0
2001,656,0.088,1.0,0.003,0.16,0.0
2002,656,2.253,3.0,2.88,5.79,20.844
2003,656,0.61,1.0,0.0,0.0,0.0
2004,656,1.489,2.0,0.329,1.66,0.0
2005,656,0.634,2.0,0.007,0.2,0.0
2006,656,1.047,2.0,0.02,2.24,0.0
2007,656,0.686,2.0,0.001,0.29,0.0
2008,656,1.082,2.0,0.139,2.6,0.0
2009,656,1.637,3.0,2.622,6.5,16.625
2010,656,1.087,2.0,0.038,1.07,0.0
2011,656,2.085,3.0,2.439,6.57,12.655
2012,656,1.107,2.0,0.405,2.98,0.0
2013,656,1.093,2.0,0.019,0.33,0.0
2014,656,0.982,2.0,0.03,1.09,0.0
2015,656,1.008,2.0,0.033,0.77,0.0
2016,656,1.062,2.0,0.031,1.24,0.0
2017,656,1.25,2.0,0.076,1.21,0.0
2018,656,1.064,2.0,0.038,1.98,0.0
2019,656,0.73,1.0,0.305,3.47,0.0
2020,656,0.966,2.0,0.001,0.16,0.0
2021,656,1.924,3.0,2.112,6.96,16.129
2022,656,1.816,4.0,2.183,8.09,5.955
2023,656,1.287,3.0,1.58,6.42,0.372
2024,656,1.947,3.0,2.018,4.16,0.744
2025,656,2.108,3.0,2.451,7.47,12.035
