cell_id,lat,lon,date_utc,baa_cat,dhw
00086b40b80c,-37.175,112.425,2024-01-01,2,0.81
00086b40b80c,-37.175,112.425,2024-01-02,2,0.99
00086b40b80c,-37.175,112.425,2024-01-03,2,1.15
00086b40b80c,-37.175,112.425,2024-01-04,2,1.15
00086b40b80c,-37.175,112.425,2024-01-05,2,1.31
001390fd61f9,-11.175,116.025,2024-01-01,2,2.04
001390fd61f9,-11.175,116.025,2024-01-02,2,2.22
001390fd61f9,-11.175,116.025,2024-01-03,2,2.44
001390fd61f9,-11.175,116.025,2024-01-04,2,2.62
001390fd61f9,-11.175,116.025,2024-01-05,2,2.83
0019b31baf0d,-16.375,149.625,2024-01-01,1,0.0
0019b31baf0d,-16.375,149.625,2024-01-02,1,0.0
0019b31baf0d,-16.375,149.625,2024-01-03,1,0.0
0019b31baf0d,-16.375,149.625,2024-01-04,1,0.0
0019b31baf0d,-16.375,149.625,2024-01-05,1,0.0
0021c35676f4,-11.175,120.025,2024-01-01,2,3.09
0021c35676f4,-11.175,120.025,2024-01-02,2,3.36
0021c35676f4,-11.175,120.025,2024-01-03,2,3.69
0021c35676f4,-11.175,120.025,2024-01-04,2,3.96
0021c35676f4,-11.175,120.025,2024-01-05,3,4.2
003031b28bed,-38.775,134.825,2024-01-01,0,0.0
003031b28bed,-38.775,134.825,2024-01-02,0,0.0
003031b28bed,-38.775,134.825,2024-01-03,0,0.0
003031b28bed,-38.775,134.825,2024-01-04,0,0.0
003031b28bed,-38.775,134.825,2024-01-05,0,0.0
003421be1b39,-23.575,110.425,2024-01-01,0,0.0
003421be1b39,-23.575,110.425,2024-01-02,0,0.0
003421be1b39,-23.575,110.425,2024-01-03,0,0.0
003421be1b39,-23.575,110.425,2024-01-04,0,0.0
003421be1b39,-23.575,110.425,2024-01-05,0,0.0
003622bece52,-10.775,140.825,2024-01-01,2,0.61
003622bece52,-10.775,140.825,2024-01-02,2,0.61
003622bece52,-10.775,140.825,2024-01-03,2,0.61
003622bece52,-10.775,140.825,2024-01-04,2,0.61
003622bece52,-10.775,140.825,2024-01-05,2,0.61
003b0e18587f,-38.775,118.025,2024-01-01,1,0.0
003b0e18587f,-38.775,118.025,2024-01-02,0,0.0
003b0e18587f,-38.775,118.025,2024-01-03,1,0.0
003b0e18587f,-38.775,118.025,2024-01-04,1,0.0
003b0e18587f,-38.775,118.025,2024-01-05,1,0.0
003bc404cad3,-34.775,134.025,2024-01-01,0,0.0
003bc404cad3,-34.775,134.025,2024-01-02,0,0.0
003bc404cad3,-34.775,134.025,2024-01-03,0,0.0
003bc404cad3,-34.775,134.025,2024-01-04,0,0.0
003bc404cad3,-34.775,134.025,2024-01-05,0,0.0
004c476bc922,-40.775,128.025,2024-01-01,1,0.0
004c476bc922,-40.775,128.025,2024-01-02,1,0.0
004c476bc922,-40.775,128.025,2024-01-03,1,0.0
004c476bc922,-40.775,128.025,2024-01-04,1,0.0
004c476bc922,-40.775,128.025,2024-01-05,1,0.0
0064cff7ccfc,-40.375,138.425,2024-01-01,0,0.0
0064cff7ccfc,-40.375,138.425,2024-01-02,0,0.0
0064cff7ccfc,-40.375,138.425,2024-01-03,0,0.0
0064cff7ccfc,-40.375,138.425,2024-01-04,0,0.0
0064cff7ccfc,-40.375,138.425,2024-01-05,0,0.0
006dd9937ee8,-24.375,152.425,2024-01-01,1,0.0
006dd9937ee8,-24.375,152.425,2024-01-02,1,0.0
006dd9937ee8,-24.375,152.425,2024-01-03,1,0.0
006dd9937ee8,-24.375,152.425,2024-01-04,1,0.0
006dd9937ee8,-24.375,152.425,2024-01-05,1,0.0
007ab65e9366,-10.775,138.025,2024-01-01,2,0.85
007ab65e9366,-10.775,138.025,2024-01-02,2,1.08
007ab65e9366,-10.775,138.025,2024-01-03,2,1.32
007ab65e9366,-10.775,138.025,2024-01-04,2,1.53
007ab65e9366,-10.775,138.025,2024-01-05,2,1.75
008f9667f550,-43.175,154.825,2024-01-01,0,0.0
008f9667f550,-43.175,154.825,2024-01-02,0,0.0
008f9667f550,-43.175,154.825,2024-01-03,0,0.0
008f9667f550,-43.175,154.825,2024-01-04,0,0.0
008f9667f550,-43.175,154.825,2024-01-05,0,0.0
00924f52023c,-15.575,139.225,2024-01-01,2,0.15
00924f52023c,-15.575,139.225,2024-01-02,2,0.15
